date,region,city,market,latitude,longitude,category,commodity,unit,priceflag,pricetype,currency,price,usdprice
2022-04-15,Gaza Strip,Kan Younis,Gaza Strip,31.34611,34.32573,oil and fats,Oil (maize),3 L,actual,Retail,ILS,26.22,8.1429
2022-04-15,Gaza Strip,Kan Younis,Gaza Strip,31.34611,34.32573,oil and fats,Oil (olive),KG,actual,Retail,ILS,29.96,9.3043
2022-04-15,Gaza Strip,Kan Younis,Gaza Strip,31.34611,34.32573,pulses and nuts,Chickpeas,KG,actual,Retail,ILS,5.35,1.6615
2022-04-15,Gaza Strip,Kan Younis,Gaza Strip,31.34611,34.32573,pulses and nuts,Lentils,KG,actual,Retail,ILS,6.13,1.9037
2022-04-15,Gaza Strip,Kan Younis,Gaza Strip,31.34611,34.32573,vegetables and fruits,Apples (red),KG,actual,Retail,ILS,5.34,1.6584
2022-04-15,Gaza Strip,Kan Younis,Gaza Strip,31.34611,34.32573,vegetables and fruits,Bananas (medium size),KG,actual,Retail,ILS,4.41,1.3696
2022-04-15,Gaza Strip,Kan Younis,Gaza Strip,31.34611,34.32573,vegetables and fruits,Cauliflower,KG,actual,Retail,ILS,3.11,0.9658
2022-04-15,Gaza Strip,Kan Younis,Gaza Strip,31.34611,34.32573,vegetables and fruits,Cucumbers (greenhouse),KG,actual,Retail,ILS,2.39,0.7422
2022-04-15,Gaza Strip,Kan Younis,Gaza Strip,31.34611,34.32573,vegetables and fruits,"Onions (dry, local)",KG,actual,Retail,ILS,2.63,0.8168
2022-04-15,Gaza Strip,Kan Younis,Gaza Strip,31.34611,34.32573,vegetables and fruits,Tomatoes (greenhouse),KG,actual,Retail,ILS,2.56,0.795
2022-05-15,Gaza Strip,Kan Younis,Gaza Strip,31.34611,34.32573,cereals and tubers,Bread,KG,actual,Retail,ILS,2.89,0.8686
2022-05-15,Gaza Strip,Kan Younis,Gaza Strip,31.34611,34.32573,cereals and tubers,Potatoes (medium size),KG,actual,Retail,ILS,1.66,0.4989
2022-05-15,Gaza Strip,Kan Younis,Gaza Strip,31.34611,34.32573,cereals and tubers,"Rice (small grain, imported)",25 KG,actual,Retail,ILS,155.0,46.5863
2022-05-15,Gaza Strip,Kan Younis,Gaza Strip,31.34611,34.32573,cereals and tubers,Wheat flour (locally processed),50 KG,actual,Retail,ILS,125.0,37.5696
2022-05-15,Gaza Strip,Kan Younis,Gaza Strip,31.34611,34.32573,"meat, fish and eggs",Eggs,2 KG,actual,Retail,ILS,11.43,3.4354
2022-05-15,Gaza Strip,Kan Younis,Gaza Strip,31.34611,34.32573,"meat, fish and eggs",Fish (frozen),KG,actual,Retail,ILS,11.83,3.5556
2022-05-15,Gaza Strip,Kan Younis,Gaza Strip,31.34611,34.32573,"meat, fish and eggs",Meat (beef),KG,actual,Retail,ILS,42.5,12.7737
2022-05-15,Gaza Strip,Kan Younis,Gaza Strip,31.34611,34.32573,"meat, fish and eggs",Meat (chicken),KG,actual,Retail,ILS,16.68,5.0133
2022-05-15,Gaza Strip,Kan Younis,Gaza Strip,31.34611,34.32573,"meat, fish and eggs","Meat (goat, with bones)",KG,actual,Retail,ILS,55.0,16.5306
2022-05-15,Gaza Strip,Kan Younis,Gaza Strip,31.34611,34.32573,milk and dairy,Cheese (goat),KG,actual,Retail,ILS,16.57,4.9802
2022-05-15,Gaza Strip,Kan Younis,Gaza Strip,31.34611,34.32573,milk and dairy,Labaneh,500 G,actual,Retail,ILS,7.5,2.2542
2022-05-15,Gaza Strip,Kan Younis,Gaza Strip,31.34611,34.32573,milk and dairy,Milk (pasteurized),KG,actual,Retail,ILS,6.0,1.8033
2022-05-15,Gaza Strip,Kan Younis,Gaza Strip,31.34611,34.32573,milk and dairy,Milk (powder),2.5 KG,actual,Retail,ILS,90.06,27.0681
2022-05-15,Gaza Strip,Kan Younis,Gaza Strip,31.34611,34.32573,milk and dairy,Yogurt,500 G,actual,Retail,ILS,5.58,1.6771
2022-05-15,Gaza Strip,Kan Younis,Gaza Strip,31.34611,34.32573,miscellaneous food,Salt,KG,actual,Retail,ILS,1.3,0.3907
2022-05-15,Gaza Strip,Kan Younis,Gaza Strip,31.34611,34.32573,miscellaneous food,Sugar,KG,actual,Retail,ILS,3.0,0.9017
2022-05-15,Gaza Strip,Kan Younis,Gaza Strip,31.34611,34.32573,miscellaneous food,Tea,KG,actual,Retail,ILS,12.75,3.8321
2022-05-15,Gaza Strip,Kan Younis,Gaza Strip,31.34611,34.32573,non-food,Fuel (petrol-gasoline),L,actual,Retail,ILS,6.59,1.9807
2022-05-15,Gaza Strip,Kan Younis,Gaza Strip,31.34611,34.32573,non-food,Water (drinking),Cubic meter,actual,Retail,ILS,1.66,0.4989
2022-05-15,Gaza Strip,Kan Younis,Gaza Strip,31.34611,34.32573,oil and fats,Oil (maize),3 L,actual,Retail,ILS,26.42,7.9407
2022-05-15,Gaza Strip,Kan Younis,Gaza Strip,31.34611,34.32573,oil and fats,Oil (olive),KG,actual,Retail,ILS,29.92,8.9927
2022-05-15,Gaza Strip,Kan Younis,Gaza Strip,31.34611,34.32573,pulses and nuts,Chickpeas,KG,actual,Retail,ILS,5.39,1.62
2022-05-15,Gaza Strip,Kan Younis,Gaza Strip,31.34611,34.32573,pulses and nuts,Lentils,KG,actual,Retail,ILS,6.13,1.8424
2022-05-15,Gaza Strip,Kan Younis,Gaza Strip,31.34611,34.32573,vegetables and fruits,Apples (red),KG,actual,Retail,ILS,5.5,1.6531
2022-05-15,Gaza Strip,Kan Younis,Gaza Strip,31.34611,34.32573,vegetables and fruits,Bananas (medium size),KG,actual,Retail,ILS,4.66,1.4006
2022-05-15,Gaza Strip,Kan Younis,Gaza Strip,31.34611,34.32573,vegetables and fruits,Cauliflower,KG,actual,Retail,ILS,2.72,0.8175
2022-05-15,Gaza Strip,Kan Younis,Gaza Strip,31.34611,34.32573,vegetables and fruits,Cucumbers (greenhouse),KG,actual,Retail,ILS,1.8,0.541
2022-05-15,Gaza Strip,Kan Younis,Gaza Strip,31.34611,34.32573,vegetables and fruits,"Onions (dry, local)",KG,actual,Retail,ILS,1.53,0.4599
2022-05-15,Gaza Strip,Kan Younis,Gaza Strip,31.34611,34.32573,vegetables and fruits,Tomatoes (greenhouse),KG,actual,Retail,ILS,1.91,0.5741
2022-06-15,Gaza Strip,Kan Younis,Gaza Strip,31.34611,34.32573,cereals and tubers,Bread,KG,actual,Retail,ILS,3.08,0.8953
